codepoint	ascii	comment
0x000067	"g"	" g  LATIN SMALL LETTER G"
0x000068	"h"	" h  LATIN SMALL LETTER H"
0x000069	"i"	" i  LATIN SMALL LETTER I"
0x00006a	"j"	" j  LATIN SMALL LETTER J"
0x00006b	"k"	" k  LATIN SMALL LETTER K"
0x00006c	"l"	" l  LATIN SMALL LETTER L"
0x00006d	"m"	" m  LATIN SMALL LETTER M"
0x00006e	"n"	" n  LATIN SMALL LETTER N"
0x00006f	"o"	" o  LATIN SMALL LETTER O"
0x000070	"p"	" p  LATIN SMALL LETTER P"
0x000071	"q"	" q  LATIN SMALL LETTER Q"
0x000072	"r"	" r  LATIN SMALL LETTER R"
0x000073	"s"	" s  LATIN SMALL LETTER S"
0x000074	"t"	" t  LATIN SMALL LETTER T"
0x000075	"u"	" u  LATIN SMALL LETTER U"
0x000076	"v"	" v  LATIN SMALL LETTER V"
0x000077	"w"	" w  LATIN SMALL LETTER W"
0x000078	"x"	" x  LATIN SMALL LETTER X"
0x000079	"y"	" y  LATIN SMALL LETTER Y"
0x00007a	"z"	" z  LATIN SMALL LETTER Z"
0x00007b	"{"	" {  LEFT CURLY BRACKET"
0x00007c	"|"	" |  VERTICAL LINE"
0x00007d	"}"	" }  RIGHT CURLY BRACKET"
0x00007e	"~"	" ~  TILDE"
0x00007f	"\u007f"	" \u007f  <control>"
0x000080	"--null--"	" \u0080  <control>"
0x000081	"--null--"	" \u0081  <control>"
0x000082	"--null--"	" \u0082  <control>"
0x000083	"--null--"	" \u0083  <control>"
0x000084	"--null--"	" \u0084  <control>"
0x000085	"--null--"	" \u0085  <control>"
0x000086	"--null--"	" \u0086  <control>"
0x000087	"--null--"	" \u0087  <control>"
0x000088	"--null--"	" \u0088  <control>"
0x000089	"--null--"	" \u0089  <control>"
0x00008a	"--null--"	" \u008a  <control>"
0x00008b	"--null--"	" \u008b  <control>"
0x00008c	"--null--"	" \u008c  <control>"
0x00008d	"--null--"	" \u008d  <control>"
0x00008e	"--null--"	" \u008e  <control>"
0x00008f	"--null--"	" \u008f  <control>"
0x000090	"--null--"	" \u0090  <control>"
0x000091	"--null--"	" \u0091  <control>"
0x000092	"--null--"	" \u0092  <control>"
0x000093	"--null--"	" \u0093  <control>"
0x000094	"--null--"	" \u0094  <control>"
0x000095	"--null--"	" \u0095  <control>"
0x000096	"--null--"	" \u0096  <control>"
0x000097	"--null--"	" \u0097  <control>"
0x000098	"--null--"	" \u0098  <control>"
0x000099	"--null--"	" \u0099  <control>"
0x00009a	"--null--"	" \u009a  <control>"
0x00009b	"--null--"	" \u009b  <control>"
0x00009c	"--null--"	" \u009c  <control>"
0x00009d	"--null--"	" \u009d  <control>"
0x00009e	"--null--"	" \u009e  <control>"
0x00009f	"--null--"	" \u009f  <control>"
0x0000a0	" "	" \u00a0  NO-BREAK SPACE"
0x0000a1	"!"	" ¡  INVERTED EXCLAMATION MARK"
0x0000a2	"c"	" ¢  CENT SIGN"
0x0000a3	"GBP"	" £  POUND SIGN"
0x0000a4	"--null--"	" ¤  CURRENCY SIGN"
0x0000a5	"JPY"	" ¥  YEN SIGN"
0x0000a6	"|"	" ¦  BROKEN BAR"
0x0000a7	"--null--"	" §  SECTION SIGN"
0x0000a8	"--null--"	" ¨  DIAERESIS"
0x0000a9	"(C)"	" ©  COPYRIGHT SIGN"
0x0000aa	"a"	" ª  FEMININE ORDINAL INDICATOR"
0x0000ab	"<<"	" «  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK"
0x0000ac	"!"	" ¬  NOT SIGN"
0x0000ad	"-"	" \u00ad  SOFT HYPHEN"
0x0000ae	"(R)"	" ®  REGISTERED SIGN"
0x0000af	"--null--"	" ¯  MACRON"
0x0000b0	"--null--"	" °  DEGREE SIGN"
0x0000b1	"+-"	" ±  PLUS-MINUS SIGN"
0x0000b2	"2"	" ²  SUPERSCRIPT TWO"
0x0000b3	"3"	" ³  SUPERSCRIPT THREE"
0x0000b4	"'"	" ´  ACUTE ACCENT"
0x0000b5	"u"	" µ  MICRO SIGN"
0x0000b6	"--null--"	" ¶  PILCROW SIGN"
0x0000b7	"."	" ·  MIDDLE DOT"
0x0000b8	","	" ¸  CEDILLA"
0x0000b9	"1"	" ¹  SUPERSCRIPT ONE"
0x0000ba	"o"	" º  MASCULINE ORDINAL INDICATOR"
0x0000bb	">>"	" »  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK"
0x0000bc	" 1/4 "	" ¼  VULGAR FRACTION ONE QUARTER"
0x0000bd	" 1/2 "	" ½  VULGAR FRACTION ONE HALF"
0x0000be	" 3/4 "	" ¾  VULGAR FRACTION THREE QUARTERS"
0x0000bf	"?"	" ¿  INVERTED QUESTION MARK"
0x0000c0	"A"	" À  LATIN CAPITAL LETTER A WITH GRAVE"
0x0000c1	"A"	" Á  LATIN CAPITAL LETTER A WITH ACUTE"
0x0000c2	"A"	" Â  LATIN CAPITAL LETTER A WITH CIRCUMFLEX"
0x0000c3	"A"	" Ã  LATIN CAPITAL LETTER A WITH TILDE"
0x0000c4	"A"	" Ä  LATIN CAPITAL LETTER A WITH DIAERESIS"
0x0000c5	"A"	" Å  LATIN CAPITAL LETTER A WITH RING ABOVE"
0x0000c6	"AE"	" Æ  LATIN CAPITAL LETTER AE"
0x0000c7	"C"	" Ç  LATIN CAPITAL LETTER C WITH CEDILLA"
0x0000c8	"E"	" È  LATIN CAPITAL LETTER E WITH GRAVE"
0x0000c9	"E"	" É  LATIN CAPITAL LETTER E WITH ACUTE"
0x0000ca	"E"	" Ê  LATIN CAPITAL LETTER E WITH CIRCUMFLEX"
0x0000cb	"E"	" Ë  LATIN CAPITAL LETTER E WITH DIAERESIS"
0x0000cc	"I"	" Ì  LATIN CAPITAL LETTER I WITH GRAVE"
0x0000cd	"I"	" Í  LATIN CAPITAL LETTER I WITH ACUTE"
0x0000ce	"I"	" Î  LATIN CAPITAL LETTER I WITH CIRCUMFLEX"
0x0000cf	"I"	" Ï  LATIN CAPITAL LETTER I WITH DIAERESIS"
0x0000d0	"D"	" Ð  LATIN CAPITAL LETTER ETH"
0x0000d1	"N"	" Ñ  LATIN CAPITAL LETTER N WITH TILDE"
0x0000d2	"O"	" Ò  LATIN CAPITAL LETTER O WITH GRAVE"
0x0000d3	"O"	" Ó  LATIN CAPITAL LETTER O WITH ACUTE"
0x0000d4	"O"	" Ô  LATIN CAPITAL LETTER O WITH CIRCUMFLEX"
0x0000d5	"O"	" Õ  LATIN CAPITAL LETTER O WITH TILDE"
0x0000d6	"O"	" Ö  LATIN CAPITAL LETTER O WITH DIAERESIS"
0x0000d7	"x"	" ×  MULTIPLICATION SIGN"
0x0000d8	"O"	" Ø  LATIN CAPITAL LETTER O WITH STROKE"
0x0000d9	"U"	" Ù  LATIN CAPITAL LETTER U WITH GRAVE"
0x0000da	"U"	" Ú  LATIN CAPITAL LETTER U WITH ACUTE"
0x0000db	"U"	" Û  LATIN CAPITAL LETTER U WITH CIRCUMFLEX"
0x0000dc	"U"	" Ü  LATIN CAPITAL LETTER U WITH DIAERESIS"
0x0000dd	"Y"	" Ý  LATIN CAPITAL LETTER Y WITH ACUTE"
0x0000de	"TH"	" Þ  LATIN CAPITAL LETTER THORN"
0x0000df	"ss"	" ß  LATIN SMALL LETTER SHARP S"
0x0000e0	"a"	" à  LATIN SMALL LETTER A WITH GRAVE"
0x0000e1	"a"	" á  LATIN SMALL LETTER A WITH ACUTE"
0x0000e2	"a"	" â  LATIN SMALL LETTER A WITH CIRCUMFLEX"
0x0000e3	"a"	" ã  LATIN SMALL LETTER A WITH TILDE"
0x0000e4	"a"	" ä  LATIN SMALL LETTER A WITH DIAERESIS"
0x0000e5	"a"	" å  LATIN SMALL LETTER A WITH RING ABOVE"
0x0000e6	"ae"	" æ  LATIN SMALL LETTER AE"
0x0000e7	"c"	" ç  LATIN SMALL LETTER C WITH CEDILLA"
0x0000e8	"e"	" è  LATIN SMALL LETTER E WITH GRAVE"
0x0000e9	"e"	" é  LATIN SMALL LETTER E WITH ACUTE"
0x0000ea	"e"	" ê  LATIN SMALL LETTER E WITH CIRCUMFLEX"
0x0000eb	"e"	" ë  LATIN SMALL LETTER E WITH DIAERESIS"
0x0000ec	"i"	" ì  LATIN SMALL LETTER I WITH GRAVE"
0x0000ed	"i"	" í  LATIN SMALL LETTER I WITH ACUTE"
0x0000ee	"i"	" î  LATIN SMALL LETTER I WITH CIRCUMFLEX"
0x0000ef	"i"	" ï  LATIN SMALL LETTER I WITH DIAERESIS"
0x0000f0	"d"	" ð  LATIN SMALL LETTER ETH"
0x0000f1	"n"	" ñ  LATIN SMALL LETTER N WITH TILDE"
0x0000f2	"o"	" ò  LATIN SMALL LETTER O WITH GRAVE"
0x0000f3	"o"	" ó  LATIN SMALL LETTER O WITH ACUTE"
0x0000f4	"o"	" ô  LATIN SMALL LETTER O WITH CIRCUMFLEX"
0x0000f5	"o"	" õ  LATIN SMALL LETTER O WITH TILDE"
0x0000f6	"o"	" ö  LATIN SMALL LETTER O WITH DIAERESIS"
0x0000f7	"/"	" ÷  DIVISION SIGN"
0x0000f8	"o"	" ø  LATIN SMALL LETTER O WITH STROKE"
0x0000f9	"u"	" ù  LATIN SMALL LETTER U WITH GRAVE"
0x0000fa	"u"	" ú  LATIN SMALL LETTER U WITH ACUTE"
0x0000fb	"u"	" û  LATIN SMALL LETTER U WITH CIRCUMFLEX"
0x0000fc	"u"	" ü  LATIN SMALL LETTER U WITH DIAERESIS"
0x0000fd	"y"	" ý  LATIN SMALL LETTER Y WITH ACUTE"
0x0000fe	"th"	" þ  LATIN SMALL LETTER THORN"
0x0000ff	"y"	" ÿ  LATIN SMALL LETTER Y WITH DIAERESIS"
0x000100	"A"	" Ā  LATIN CAPITAL LETTER A WITH MACRON"
0x000101	"a"	" ā  LATIN SMALL LETTER A WITH MACRON"
0x000102	"A"	" Ă  LATIN CAPITAL LETTER A WITH BREVE"
0x000103	"a"	" ă  LATIN SMALL LETTER A WITH BREVE"
0x000104	"A"	" Ą  LATIN CAPITAL LETTER A WITH OGONEK"
0x000105	"a"	" ą  LATIN SMALL LETTER A WITH OGONEK"
0x000106	"C"	" Ć  LATIN CAPITAL LETTER C WITH ACUTE"
0x000107	"c"	" ć  LATIN SMALL LETTER C WITH ACUTE"
0x000108	"C"	" Ĉ  LATIN CAPITAL LETTER C WITH CIRCUMFLEX"
0x000109	"c"	" ĉ  LATIN SMALL LETTER C WITH CIRCUMFLEX"
0x00010a	"C"	" Ċ  LATIN CAPITAL LETTER C WITH DOT ABOVE"
0x00010b	"c"	" ċ  LATIN SMALL LETTER C WITH DOT ABOVE"
0x00010c	"C"	" Č  LATIN CAPITAL LETTER C WITH CARON"
0x00010d	"c"	" č  LATIN SMALL LETTER C WITH CARON"
0x00010e	"D"	" Ď  LATIN CAPITAL LETTER D WITH CARON"
0x00010f	"d"	" ď  LATIN SMALL LETTER D WITH CARON"
0x000110	"D"	" Đ  LATIN CAPITAL LETTER D WITH STROKE"
0x000111	"d"	" đ  LATIN SMALL LETTER D WITH STROKE"
0x000112	"E"	" Ē  LATIN CAPITAL LETTER E WITH MACRON"
0x000113	"e"	" ē  LATIN SMALL LETTER E WITH MACRON"
0x000114	"E"	" Ĕ  LATIN CAPITAL LETTER E WITH BREVE"
0x000115	"e"	" ĕ  LATIN SMALL LETTER E WITH BREVE"
0x000116	"E"	" Ė  LATIN CAPITAL LETTER E WITH DOT ABOVE"
0x000117	"e"	" ė  LATIN SMALL LETTER E WITH DOT ABOVE"
0x000118	"E"	" Ę  LATIN CAPITAL LETTER E WITH OGONEK"
0x000119	"e"	" ę  LATIN SMALL LETTER E WITH OGONEK"
0x00011a	"E"	" Ě  LATIN CAPITAL LETTER E WITH CARON"
0x00011b	"e"	" ě  LATIN SMALL LETTER E WITH CARON"
0x00011c	"G"	" Ĝ  LATIN CAPITAL LETTER G WITH CIRCUMFLEX"
0x00011d	"g"	" ĝ  LATIN SMALL LETTER G WITH CIRCUMFLEX"
0x00011e	"G"	" Ğ  LATIN CAPITAL LETTER G WITH BREVE"
0x00011f	"g"	" ğ  LATIN SMALL LETTER G WITH BREVE"
0x000120	"G"	" Ġ  LATIN CAPITAL LETTER G WITH DOT ABOVE"
0x000121	"g"	" ġ  LATIN SMALL LETTER G WITH DOT ABOVE"
0x000122	"G"	" Ģ  LATIN CAPITAL LETTER G WITH CEDILLA"
0x000123	"g"	" ģ  LATIN SMALL LETTER G WITH CEDILLA"
0x000124	"H"	" Ĥ  LATIN CAPITAL LETTER H WITH CIRCUMFLEX"
0x000125	"h"	" ĥ  LATIN SMALL LETTER H WITH CIRCUMFLEX"
0x000126	"H"	" Ħ  LATIN CAPITAL LETTER H WITH STROKE"
0x000127	"h"	" ħ  LATIN SMALL LETTER H WITH STROKE"
0x000128	"I"	" Ĩ  LATIN CAPITAL LETTER I WITH TILDE"
0x000129	"i"	" ĩ  LATIN SMALL LETTER I WITH TILDE"
0x00012a	"I"	" Ī  LATIN CAPITAL LETTER I WITH MACRON"
0x00012b	"i"	" ī  LATIN SMALL LETTER I WITH MACRON"
0x00012c	"I"	" Ĭ  LATIN CAPITAL LETTER I WITH BREVE"
0x00012d	"i"	" ĭ  LATIN SMALL LETTER I WITH BREVE"
0x00012e	"I"	" Į  LATIN CAPITAL LETTER I WITH OGONEK"
0x00012f	"i"	" į  LATIN SMALL LETTER I WITH OGONEK"
0x000130	"I"	" İ  LATIN CAPITAL LETTER I WITH DOT ABOVE"
0x000131	"i"	" ı  LATIN SMALL LETTER DOTLESS I"
0x000132	"IJ"	" Ĳ  LATIN CAPITAL LIGATURE IJ"
0x000133	"ij"	" ĳ  LATIN SMALL LIGATURE IJ"
0x000134	"J"	" Ĵ  LATIN CAPITAL LETTER J WITH CIRCUMFLEX"
0x000135	"j"	" ĵ  LATIN SMALL LETTER J WITH CIRCUMFLEX"
0x000136	"K"	" Ķ  LATIN CAPITAL LETTER K WITH CEDILLA"
0x000137	"k"	" ķ  LATIN SMALL LETTER K WITH CEDILLA"
0x000138	"q"	" ĸ  LATIN SMALL LETTER KRA"
0x000139	"L"	" Ĺ  LATIN CAPITAL LETTER L WITH ACUTE"
0x00013a	"l"	" ĺ  LATIN SMALL LETTER L WITH ACUTE"
0x00013b	"L"	" Ļ  LATIN CAPITAL LETTER L WITH CEDILLA"
0x00013c	"l"	" ļ  LATIN SMALL LETTER L WITH CEDILLA"
0x00013d	"L"	" Ľ  LATIN CAPITAL LETTER L WITH CARON"
0x00013e	"l"	" ľ  LATIN SMALL LETTER L WITH CARON"
0x00013f	"L"	" Ŀ  LATIN CAPITAL LETTER L WITH MIDDLE DOT"
0x000140	"l"	" ŀ  LATIN SMALL LETTER L WITH MIDDLE DOT"
0x000141	"L"	" Ł  LATIN CAPITAL LETTER L WITH STROKE"
0x000142	"l"	" ł  LATIN SMALL LETTER L WITH STROKE"
0x000143	"N"	" Ń  LATIN CAPITAL LETTER N WITH ACUTE"
0x000144	"n"	" ń  LATIN SMALL LETTER N WITH ACUTE"
0x000145	"N"	" Ņ  LATIN CAPITAL LETTER N WITH CEDILLA"
0x000146	"n"	" ņ  LATIN SMALL LETTER N WITH CEDILLA"
0x000147	"N"	" Ň  LATIN CAPITAL LETTER N WITH CARON"
0x000148	"n"	" ň  LATIN SMALL LETTER N WITH CARON"
0x000149	"'n"	" ŉ  LATIN SMALL LETTER N PRECEDED BY APOSTROPHE"
0x00014a	"N"	" Ŋ  LATIN CAPITAL LETTER ENG"
0x00014b	"n"	" ŋ  LATIN SMALL LETTER ENG"
0x00014c	"O"	" Ō  LATIN CAPITAL LETTER O WITH MACRON"
0x00014d	"o"	" ō  LATIN SMALL LETTER O WITH MACRON"
0x00014e	"O"	" Ŏ  LATIN CAPITAL LETTER O WITH BREVE"
0x00014f	"o"	" ŏ  LATIN SMALL LETTER O WITH BREVE"
0x000150	"O"	" Ő  LATIN CAPITAL LETTER O WITH DOUBLE ACUTE"
0x000151	"o"	" ő  LATIN SMALL LETTER O WITH DOUBLE ACUTE"
0x000152	"OE"	" Œ  LATIN CAPITAL LIGATURE OE"
0x000153	"oe"	" œ  LATIN SMALL LIGATURE OE"
0x000154	"R"	" Ŕ  LATIN CAPITAL LETTER R WITH ACUTE"
0x000155	"r"	" ŕ  LATIN SMALL LETTER R WITH ACUTE"
0x000156	"R"	" Ŗ  LATIN CAPITAL LETTER R WITH CEDILLA"
0x000157	"r"	" ŗ  LATIN SMALL LETTER R WITH CEDILLA"
0x000158	"R"	" Ř  LATIN CAPITAL LETTER R WITH CARON"
0x000159	"r"	" ř  LATIN SMALL LETTER R WITH CARON"
0x00015a	"S"	" Ś  LATIN CAPITAL LETTER S WITH ACUTE"
0x00015b	"s"	" ś  LATIN SMALL LETTER S WITH ACUTE"
0x00015c	"S"	" Ŝ  LATIN CAPITAL LETTER S WITH CIRCUMFLEX"
0x00015d	"s"	" ŝ  LATIN SMALL LETTER S WITH CIRCUMFLEX"
0x00015e	"S"	" Ş  LATIN CAPITAL LETTER S WITH CEDILLA"
0x00015f	"s"	" ş  LATIN SMALL LETTER S WITH CEDILLA"
0x000160	"S"	" Š  LATIN CAPITAL LETTER S WITH CARON"
0x000161	"s"	" š  LATIN SMALL LETTER S WITH CARON"
0x000162	"T"	" Ţ  LATIN CAPITAL LETTER T WITH CEDILLA"
0x000163	"t"	" ţ  LATIN SMALL LETTER T WITH CEDILLA"
0x000164	"T"	" Ť  LATIN CAPITAL LETTER T WITH CARON"
0x000165	"t"	" ť  LATIN SMALL LETTER T WITH CARON"
0x000166	"T"	" Ŧ  LATIN CAPITAL LETTER T WITH STROKE"
0x000167	"t"	" ŧ  LATIN SMALL LETTER T WITH STROKE"
0x000168	"U"	" Ũ  LATIN CAPITAL LETTER U WITH TILDE"
0x000169	"u"	" ũ  LATIN SMALL LETTER U WITH TILDE"
0x00016a	"U"	" Ū  LATIN CAPITAL LETTER U WITH MACRON"
0x00016b	"u"	" ū  LATIN SMALL LETTER U WITH MACRON"
0x00016c	"U"	" Ŭ  LATIN CAPITAL LETTER U WITH BREVE"
0x00016d	"u"	" ŭ  LATIN SMALL LETTER U WITH BREVE"
0x00016e	"U"	" Ů  LATIN CAPITAL LETTER U WITH RING ABOVE"
0x00016f	"u"	" ů  LATIN SMALL LETTER U WITH RING ABOVE"
0x000170	"U"	" Ű  LATIN CAPITAL LETTER U WITH DOUBLE ACUTE"
0x000171	"u"	" ű  LATIN SMALL LETTER U WITH DOUBLE ACUTE"
0x000172	"U"	" Ų  LATIN CAPITAL LETTER U WITH OGONEK"
0x000173	"u"	" ų  LATIN SMALL LETTER U WITH OGONEK"
0x000174	"W"	" Ŵ  LATIN CAPITAL LETTER W WITH CIRCUMFLEX"
0x000175	"w"	" ŵ  LATIN SMALL LETTER W WITH CIRCUMFLEX"
0x000176	"Y"	" Ŷ  LATIN CAPITAL LETTER Y WITH CIRCUMFLEX"
0x000177	"y"	" ŷ  LATIN SMALL LETTER Y WITH CIRCUMFLEX"
0x000178	"Y"	" Ÿ  LATIN CAPITAL LETTER Y WITH DIAERESIS"
0x000179	"Z"	" Ź  LATIN CAPITAL LETTER Z WITH ACUTE"
0x00017a	"z"	" ź  LATIN SMALL LETTER Z WITH ACUTE"
0x00017b	"Z"	" Ż  LATIN CAPITAL LETTER Z WITH DOT ABOVE"
0x00017c	"z"	" ż  LATIN SMALL LETTER Z WITH DOT ABOVE"
0x00017d	"Z"	" Ž  LATIN CAPITAL LETTER Z WITH CARON"
0x00017e	"z"	" ž  LATIN SMALL LETTER Z WITH CARON"
0x00017f	"s"	" ſ  LATIN SMALL LETTER LONG S"
0x000180	"b"	" ƀ  LATIN SMALL LETTER B WITH STROKE"
0x000181	"B"	" Ɓ  LATIN CAPITAL LETTER B WITH HOOK"
0x000182	"B"	" Ƃ  LATIN CAPITAL LETTER B WITH TOPBAR"
0x000183	"b"	" ƃ  LATIN SMALL LETTER B WITH TOPBAR"
0x000184	"--null--"	" Ƅ  LATIN CAPITAL LETTER TONE SIX"
0x000185	"--null--"	" ƅ  LATIN SMALL LETTER TONE SIX"
0x000186	"--null--"	" Ɔ  LATIN CAPITAL LETTER OPEN O"
0x000187	"C"	" Ƈ  LATIN CAPITAL LETTER C WITH HOOK"
0x000188	"c"	" ƈ  LATIN SMALL LETTER C WITH HOOK"
0x000189	"D"	" Ɖ  LATIN CAPITAL LETTER AFRICAN D"
0x00018a	"D"	" Ɗ  LATIN CAPITAL LETTER D WITH HOOK"
0x00018b	"D"	" Ƌ  LATIN CAPITAL LETTER D WITH TOPBAR"
0x00018c	"d"	" ƌ  LATIN SMALL LETTER D WITH TOPBAR"
0x00018d	"--null--"	" ƍ  LATIN SMALL LETTER TURNED DELTA"
0x00018e	"--null--"	" Ǝ  LATIN CAPITAL LETTER REVERSED E"
0x00018f	"--null--"	" Ə  LATIN CAPITAL LETTER SCHWA"
0x000190	"E"	" Ɛ  LATIN CAPITAL LETTER OPEN E"
0x000191	"F"	" Ƒ  LATIN CAPITAL LETTER F WITH HOOK"
0x000192	"f"	" ƒ  LATIN SMALL LETTER F WITH HOOK"
0x000193	"G"	" Ɠ  LATIN CAPITAL LETTER G WITH HOOK"
0x000194	"--null--"	" Ɣ  LATIN CAPITAL LETTER GAMMA"
0x000195	"hv"	" ƕ  LATIN SMALL LETTER HV"
0x000196	"I"	" Ɩ  LATIN CAPITAL LETTER IOTA"
0x000197	"I"	" Ɨ  LATIN CAPITAL LETTER I WITH STROKE"
0x000198	"K"	" Ƙ  LATIN CAPITAL LETTER K WITH HOOK"
0x000199	"k"	" ƙ  LATIN SMALL LETTER K WITH HOOK"
0x00019a	"l"	" ƚ  LATIN SMALL LETTER L WITH BAR"
0x00019b	"--null--"	" ƛ  LATIN SMALL LETTER LAMBDA WITH STROKE"
0x00019c	"--null--"	" Ɯ  LATIN CAPITAL LETTER TURNED M"
0x00019d	"N"	" Ɲ  LATIN CAPITAL LETTER N WITH LEFT HOOK"
0x00019e	"n"	" ƞ  LATIN SMALL LETTER N WITH LONG RIGHT LEG"
0x00019f	"--null--"	" Ɵ  LATIN CAPITAL LETTER O WITH MIDDLE TILDE"
0x0001a0	"O"	" Ơ  LATIN CAPITAL LETTER O WITH HORN"
0x0001a1	"o"	" ơ  LATIN SMALL LETTER O WITH HORN"
0x0001a2	"OI"	" Ƣ  LATIN CAPITAL LETTER OI"
0x0001a3	"oi"	" ƣ  LATIN SMALL LETTER OI"
0x0001a4	"P"	" Ƥ  LATIN CAPITAL LETTER P WITH HOOK"
0x0001a5	"p"	" ƥ  LATIN SMALL LETTER P WITH HOOK"
